Unnamed: 0,direc,y_x,score
15360,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_3_32,0.5066347
15361,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_6_18,0.43751052
15362,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_27_5,0.5682121
15363,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_23_22,0.52214515
15364,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_15_13,0.5715397
15365,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_22_1,0.56074566
15366,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_29_1,0.57420737
15367,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_27_9,0.5705334
15368,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_31_19,0.5786333
15369,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_27_26,0.5270395
15370,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_25_7,0.5775633
15371,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_21_28,0.5283898
15372,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_24_10,0.37169278
15373,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_19_7,0.56452054
15374,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_8_10,0.5730978
15375,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_31_22,0.43651807
15376,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_3_12,0.57352924
15377,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_24_20,0.48601797
15378,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_25_32,0.5782313
15379,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_6_6,0.57987744
15380,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_29_11,0.5818612
15381,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_15_15,0.5146379
15382,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_22_9,0.48858017
15383,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_30_3,0.57184106
15384,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_28_4,0.5780565
15385,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_24_15,0.55963475
15386,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_31_20,0.5899746
15387,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_21_3,0.5763576
15388,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_14_11,0.51441956
15389,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_3_6,0.57212704
15390,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_14_9,0.5632707
15391,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_18_26,0.4435383
15392,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_27_19,0.4671283
15393,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_1_23,0.35801154
15394,48RWU_32_times_32,S2B_MSIL2A_20210111T034119_R061_T48RWU_20210111T161928_visual_11_18,0.5644654
